AREA_A,AREA_B,DIST_KM
E08000010,E07000006,257.475
E08000015,E07000006,263.74
W06000011,E07000006,240.619
S12000041,E07000006,594.653
E06000022,E07000006,132.87
E06000055,E07000006,70.82
E06000008,E07000006,269.468
E06000009,E07000006,300.967
W06000019,E07000006,181.61
E06000028,E07000006,126.768
E06000036,E07000006,19.495
W06000014,E07000006,195.381
W06000018,E07000006,181.41
W06000022,E07000006,164.419
W06000012,E07000006,218.747
E06000056,E07000006,51.195
E06000049,E07000006,216.754
E06000050,E07000006,234.01
E06000023,E07000006,151.798
E06000015,E07000006,162.341
E06000010,E07000006,245.754
E06000016,E07000006,125.833
E06000018,E07000006,161.25
E06000031,E07000006,119.304
E06000045,E07000006,90.798
E06000021,E07000006,194.847
S12000005,E07000006,551.479
W06000003,E07000006,277.454
E06000047,E07000006,359.09
E06000019,E07000006,160.481
E06000005,E07000006,339.088
S12000042,E07000006,569.205
S12000008,E07000006,501.869
S12000045,E07000006,544.893
S12000011,E07000006,529.079
E06000011,E07000006,257.259
S12000014,E07000006,537.117
S12000046,E07000006,536.048
E06000006,E07000006,245.867
E06000001,E07000006,349.15
S12000018,E07000006,555.765
E06000032,E07000006,39.26
E06000035,E07000006,81.824
W06000024,E07000006,192.814
E06000002,E07000006,334.905
S12000019,E07000006,503.921
E06000042,E07000006,59.496
E06000012,E07000006,223.292
S12000044,E07000006,528.984
E06000013,E07000006,226.679
W06000013,E07000006,208.704
S12000024,E07000006,595.922
E06000029,E07000006,132.241
W06000023,E07000006,211.797
E06000038,E07000006,29.655
E06000003,E07000006,334.707
S12000038,E07000006,543.951
W06000016,E07000006,197.345
E06000017,E07000006,122.927
S12000026,E07000006,470.289
E06000051,E07000006,189.633
W06000004,E07000006,254.263
W06000010,E07000006,249.718
W06000005,E07000006,254.579
E06000039,E07000006,5.343
E06000033,E07000006,91.493
E06000025,E07000006,130.39
S12000029,E07000006,499.007
S12000030,E07000006,576.671
E06000004,E07000006,338.109
E06000030,E07000006,79.997
E06000020,E07000006,184.195
